### Spectrometer ROMezzanines T0 file¬                                                                                                                                                                                                       
# Format: Starting from readout ID 0, grouped by 16¬
#¬
# Generated on Mon Jul 11 23:23:54 2016¬
#¬
MezzaninesT0_00= -199.13 -174.57 -202.49 -202.88 -198.67 -199.67 -202.59 -178.10 -199.10 -175.31 -202.47 -31434.65 -199.62 -200.05 -177.77 -31434.65¬
MezzaninesT0_01= -205.12 -204.45 -180.60 -204.69 -204.95 -179.85 -206.35 -204.76 -180.03 -204.17 -229.88 -182.63 -179.99 -204.33 -230.31 -206.65¬
MezzaninesT0_02= -168.76 -167.85 -193.52 -166.50 -168.90 -217.71 -168.48 -191.84 -194.47 -168.26 -216.36 -31434.65 -169.39 -168.77 -216.62 -31434.65¬
MezzaninesT0_03= -192.64 -215.35 -187.03 -186.36 -192.43 -165.36 -186.80 -161.34 -190.19 -164.65 -160.97 -160.67 -165.31 -164.95 -186.26 -161.02¬
MezzaninesT0_04= -171.04 -171.26 -170.48 -195.70 -167.46 -193.25 -195.50 -170.62 -196.03 -173.23 -195.28 -31434.65 -192.58 -170.53 -170.52 -31434.65¬
MezzaninesT0_05= -222.41 -172.20 -198.62 -174.69 -197.56 -222.14 -199.14 -174.82 -147.04 -173.84 -198.46 -199.68 -172.27 -198.75 -198.31 -173.48¬
MezzaninesT0_06= -162.46 -160.56 -161.25 -159.45 -165.68 -164.00 -186.56 -185.10 -138.15 -186.11 -186.65 -31434.65 -165.98 -188.20 -161.82 -31434.65¬
MezzaninesT0_07= -159.72 -182.86 -182.07 -154.16 -159.19 -182.86 -181.73 -178.53 -184.50 -157.43 -181.22 -153.66 -209.71 -157.13 -181.34 -153.29¬
MezzaninesT0_08= -225.13 -226.26 -253.28 -230.91 -226.33 -251.36 -253.34 -230.76 -225.55 -253.18 -278.11 -31434.65 -225.07 -228.26 -253.15 -31434.65¬
MezzaninesT0_09= -255.06 -232.11 -281.13 -282.78 -255.23 -257.18 -231.05 -231.74 -254.89 -231.62 -255.62 -206.52 -255.05 -231.92 -230.80 -280.33¬
MezzaninesT0_10= -246.72 -247.01 -270.21 -218.36 -245.88 -245.37 -195.67 -243.54 -246.54 -245.09 -245.13 -31434.65 -246.74 -220.25 -243.21 -31434.65¬
MezzaninesT0_11= -217.74 -215.93 -239.35 -260.75 -242.67 -240.90 -239.43 -211.77 -217.64 -215.04 -213.87 -260.02 -242.73 -215.48 -261.24 -210.35¬
MezzaninesT0_12= -258.38 -258.43 -260.78 -238.45 -208.56 -233.77 -235.72 -263.76 -258.73 -235.81 -260.96 -31434.65 -233.83 -235.80 -210.82 -31434.65¬
MezzaninesT0_13= -261.85 -238.56 -262.66 -239.96 -286.63 -238.41 -237.83 -239.08 -236.42 -238.28 -286.81 -263.63 -236.16 -263.40 -261.69 -261.36¬
MezzaninesT0_14= -263.97 -262.86 -236.92 -234.98 -264.11 -236.48 -262.45 -235.42 -237.57 -261.95 -237.09 -31434.65 -238.47 -261.56 -261.97 -31434.65¬
MezzaninesT0_15= -249.50 -249.72 -247.02 -218.03 -274.49 -222.43 -247.39 -243.88 -249.26 -222.11 -220.97 -218.79 -224.44 -247.28 -244.40 -217.87¬
MezzaninesT0_16= -62.65 -38.07 -39.96 -65.53 -37.24 -62.67 -40.07 -40.49 -63.03 -63.34 -64.76 -31434.65 -38.19 -62.63 -65.28 -31434.65¬
MezzaninesT0_17= -43.26 -68.08 -94.08 -43.95 -18.55 -68.13 -44.23 -69.05 -68.27 -41.98 -93.26 -69.66 -43.02 -66.86 -43.26 -44.49¬
MezzaninesT0_18= -33.90 -32.88 -58.04 -31.23 -34.22 -33.38 -58.23 -30.88 -84.30 -57.93 -31.10 -31434.65 -59.89 -33.22 -31.05 -31434.65¬
MezzaninesT0_19= -79.90 -27.47 -24.73 -48.91 -29.88 -27.08 -24.24 -48.34 -27.46 -25.21 -24.00 -22.44 -52.74 -27.24 -24.27 -22.80¬
MezzaninesT0_20= -64.81 -40.11 -66.98 -42.45 -39.64 -40.02 -92.21 -67.29 -64.70 -67.06 -42.10 -31434.65 -39.98 -42.05 -42.15 -31434.65¬
MezzaninesT0_21= -43.96 -43.54 -70.22 -46.02 -69.11 -68.69 -44.97 -46.32 -43.52 -45.54 -69.28 -45.53 -43.93 -45.39 -44.43 -46.00¬
MezzaninesT0_22= -84.51 -33.76 -84.37 -32.65 -59.42 -58.76 -34.37 -82.46 -60.25 -58.90 -59.41 -31434.65 -59.99 -59.33 -34.66 -31434.65¬
MezzaninesT0_23= -31.69 -30.17 -54.59 -50.92 -32.01 -54.89 -4.74 -51.91 -57.08 -29.66 -79.41 -76.15 -32.20 -29.95 -29.44 -25.95¬
MezzaninesT0_24= -21.10 -47.22 -24.72 1.37 -46.17 -22.21 0.25 -17.84 3.39 -24.35 -24.25 -31434.65 -21.80 0.67 0.39 -31434.65¬
MezzaninesT0_25= -1.59 -3.07 -2.77 -2.46 23.37 -2.92 22.58 -2.38 -0.80 -2.64 -1.92 -2.95 -1.11 -2.71 -1.79 -27.01¬
MezzaninesT0_26= 9.27 8.40 -14.91 11.55 -16.00 10.51 -15.17 -13.33 -16.34 10.10 -15.00 -31434.65 -16.72 35.13 11.99 -31434.65¬
MezzaninesT0_27= -13.87 -11.09 -10.89 17.49 10.92 13.61 14.20 18.04 11.41 13.82 15.06 -6.51 -13.66 -11.08 -8.08 18.47¬
MezzaninesT0_28= -1.74 -27.33 -30.11 -32.60 -26.46 -52.20 -30.05 -7.91 -1.68 -4.71 -5.16 -31434.65 -51.65 -4.66 -5.30 -31434.65¬
MezzaninesT0_29= -7.36 -9.19 -8.67 -9.66 -32.57 -9.25 -8.68 -9.52 -32.36 -8.89 -8.15 -9.41 -32.13 -8.72 -8.17 -34.39¬
MezzaninesT0_30= -1.46 -50.34 -48.67 2.47 -26.30 1.28 0.97 2.67 0.09 -23.36 -23.72 -31434.65 0.30 -23.47 1.10 -31434.65¬
MezzaninesT0_31= -21.39 -20.78 -18.46 -39.93 3.66 -18.87 -18.52 9.50 -20.85 6.68 -17.67 -14.76 -46.02 -18.50 -40.95 -14.76¬
