### Spectrometer ROMezzanines T0 file
# Format: Starting from readout ID 0, grouped by 16
#
# Generated on Tue Nov  1 21:10:31 2016
#
MezzaninesT0_00= -125.77 -122.94 -127.81 -128.41 -148.52 -124.22 -127.40 -128.64 -98.41 -150.20 -152.78 0.00 -149.83 -150.12 -152.98 0.00
MezzaninesT0_01= -155.51 -154.93 -155.59 -180.44 -155.59 -179.89 -130.77 -156.54 -155.30 -155.15 -129.78 -155.29 -155.28 -153.98 -131.07 -155.17
MezzaninesT0_02= -118.78 -142.85 -143.66 -141.98 -121.78 -117.05 -118.53 -117.47 -144.82 -118.26 -116.67 0.00 -118.03 -118.18 -116.88 0.00
MezzaninesT0_03= -143.17 -140.73 -136.78 -135.35 -167.97 -140.58 -161.52 -161.75 -140.54 -164.51 -136.14 -160.20 -140.65 -139.99 -112.51 -158.94
MezzaninesT0_04= -142.38 -119.09 -120.67 -120.96 -143.47 -143.01 -120.68 -145.67 -115.37 -147.66 -145.59 0.00 -117.93 -120.62 -120.78 0.00
MezzaninesT0_05= -123.17 -122.24 -123.66 -124.46 -123.18 -122.37 -148.62 -125.39 -122.34 -123.96 -123.24 -124.95 -122.58 -124.27 -123.39 -124.23
MezzaninesT0_06= -111.97 -110.46 -111.99 -110.32 -117.75 -114.66 -111.93 -110.89 -135.75 -135.82 -137.31 0.00 -115.79 -112.47 -137.14 0.00
MezzaninesT0_07= -110.17 -133.37 -132.10 -129.92 -109.39 -108.54 -106.82 -104.28 -110.37 -108.04 -106.22 -128.62 -135.24 -107.25 -131.30 -103.25
MezzaninesT0_08= -176.21 -175.39 -228.56 -206.34 -173.89 -175.36 -178.61 -181.36 -175.37 -203.20 -203.61 0.00 -174.22 -178.35 -178.53 0.00
MezzaninesT0_09= -180.79 -182.23 -180.58 -180.06 -205.66 -182.33 -205.98 -206.36 -180.26 -181.60 -180.51 -178.68 -180.42 -206.63 -179.22 -177.51
MezzaninesT0_10= -195.24 -171.83 -170.27 -168.99 -196.56 -169.76 -195.57 -169.18 -170.67 -169.60 -170.44 0.00 -170.63 -170.27 -168.65 0.00
MezzaninesT0_11= -168.43 -191.09 -164.83 -160.41 -168.48 -166.09 -165.17 -186.01 -168.13 -165.45 -164.15 -181.99 -193.14 -165.51 -161.81 -184.49
MezzaninesT0_12= -182.69 -182.87 -210.99 -213.44 -206.39 -182.81 -185.97 -189.09 -182.79 -185.85 -186.33 0.00 -183.02 -210.35 -186.14 0.00
MezzaninesT0_13= -187.43 -188.95 -188.18 -189.49 -187.25 -188.42 -187.36 -188.76 -211.74 -188.37 -212.04 -214.43 -211.54 -188.50 -212.23 -189.55
MezzaninesT0_14= -187.61 -211.89 -212.06 -210.48 -188.03 -186.24 -187.40 -185.99 -210.95 -211.76 -187.41 0.00 -212.44 -186.56 -187.17 0.00
MezzaninesT0_15= -174.77 -174.90 -196.94 -193.54 -199.90 -197.67 -196.87 -167.56 -174.79 -172.24 -171.04 -190.84 -174.95 -172.62 -168.73 -192.41
MezzaninesT0_16= -11.32 -13.24 -40.24 8.94 13.03 11.41 -15.89 8.99 -13.16 -13.38 -15.67 0.00 -13.41 11.56 8.96 0.00
MezzaninesT0_17= -18.89 -18.85 -20.08 -18.69 -18.97 -19.14 -20.46 4.49 5.92 -17.99 5.49 5.14 -18.98 6.74 -19.50 5.16
MezzaninesT0_18= 16.40 -7.70 16.76 18.87 16.21 16.63 16.43 -6.31 15.88 17.23 18.51 0.00 15.74 16.60 18.45 0.00
MezzaninesT0_19= 19.49 22.20 24.67 26.73 19.51 22.08 24.73 25.65 22.05 22.32 25.35 0.85 21.62 22.05 0.59 1.13
MezzaninesT0_20= 10.55 -14.41 -17.03 -16.88 -13.18 10.56 7.35 8.12 10.47 -17.13 -17.29 0.00 10.21 7.97 7.53 0.00
MezzaninesT0_21= -19.44 -18.59 -20.37 -20.75 5.42 -19.06 -20.05 4.01 -18.84 -20.64 5.00 5.33 -19.23 -20.47 5.74 4.54
MezzaninesT0_22= 15.46 16.17 -9.67 16.74 15.99 16.52 15.53 16.83 15.57 15.90 15.27 0.00 14.32 -9.37 -9.87 0.00
MezzaninesT0_23= 18.94 -5.52 20.21 23.49 17.96 -5.56 -4.33 22.73 -7.53 19.91 20.15 22.92 17.33 -5.17 -4.70 22.62
MezzaninesT0_24= -19.19 -21.22 -24.57 -23.91 -17.81 -20.20 -24.21 -14.60 -19.37 -22.59 -23.42 0.00 -20.17 -22.19 -24.01 0.00
MezzaninesT0_25= -25.86 -27.88 -26.13 -24.91 -26.09 -27.03 -26.20 -21.97 -25.71 -26.55 -25.04 -23.50 -25.97 -26.10 -24.85 -20.50
MezzaninesT0_26= -13.69 -15.24 -14.68 -12.99 -13.10 -12.82 -14.16 -12.40 -13.51 -13.76 -14.71 0.00 -14.01 -13.10 -12.03 0.00
MezzaninesT0_27= -12.90 -10.92 -9.41 -6.11 -13.57 -10.86 -10.67 -5.69 -13.97 -10.91 -9.44 -4.87 -13.55 -9.80 -6.39 -4.25
MezzaninesT0_28= -25.14 -26.53 -29.55 -31.37 -23.82 -25.77 -29.40 -31.93 -24.46 -28.27 -29.64 0.00 -25.02 -28.35 -30.08 0.00
MezzaninesT0_29= -31.22 -33.80 -32.31 -32.85 -32.39 -34.43 -33.31 -33.53 -32.15 -32.85 -31.24 -31.10 -32.12 -32.82 -31.49 -31.75
MezzaninesT0_30= -24.66 -24.35 -23.27 -22.56 -24.17 -22.18 -23.28 -21.73 -22.72 -21.90 -22.94 0.00 -22.75 -21.91 -23.10 0.00
MezzaninesT0_31= -19.95 -20.47 -16.36 -13.39 -19.86 -18.09 -16.69 -13.63 -20.82 -17.60 -16.32 -12.68 -21.05 -17.46 -13.56 -12.55
